,Average,bmSPY
AnnRet(%),6.0,6.2
AnnRisk(%),10.32064747823851,14.247132986212927
AnnSharpe(2.5%),0.5514452765057729,0.4115348685475944
Avg_DD(%),4.14,5.201
MaxDD(%),20.966,46.322
WinRate(%),57.8,63.800000000000004
Gain_to_Loss,1.184,0.816
RoMDD,0.287,0.133
Sortino(5%),0.5765098895510825,0.45215982901002183
Sterling_Ratio(over MDD),0.287,0.133
beta,0.4729868620546823,0.9999999999999998
ann_alpha,0.002408769922680085,2.1141942363467336e-18
R_squared,0.4211081501727125,1.0
p_value,0.1292370021015183,0.0009290561306448043
tvalue,1.5231332437497018,3.359180690918672
1YrReturns,13.169140797566614,16.136712992611415
1YrRisk,8.905611426384098,8.950113720776855
3YrReturns,10.348132759483942,12.388680764416971
3YrRisk,10.49400167054479,10.292786569715563
5YrReturns,10.92223384229898,12.983990842800065
5YrRisk,10.01922958911356,9.73253728284337
Total Return,1.122662221463657,1.2366553540446064
Best_Month,9.50249455499909,10.914713010345256
Worst_Month,-12.54934027940539,-16.518625676257393
Best_Year,28.539121229779084,28.660059746580323
Worst_Year,-20.510691587526583,-42.87458516954188
