,cashModel,noCashModel,portfolio,S&P500,EW
2001,,,,,
2002,-0.009914658158532763,-0.009914658158532763,-0.009914658158532874,-0.21584626784728134,-0.17914278823774676
2003,0.2699274588327949,0.3196880265671178,0.2148292859616341,0.2818153732898483,0.2565873434305903
2004,0.14213581373224726,0.10149118652002898,0.1283174016782609,0.10697926715327188,0.12758759953500642
2005,0.10692262807875319,0.1903603238430167,0.2031184306918623,0.04828296018144096,0.0726921597546204
2006,0.2451811928304113,0.26204266271365917,0.2643700975709349,0.1584521632254028,0.1496011923619711
2007,0.09010861119086666,0.10375194091240925,0.09791794279317578,0.051462417958038076,0.09333414906900872
2008,-0.10634267631914451,-0.2613288091969541,-0.10634267631914462,-0.3679500878302433,-0.31922711485621624
2009,-0.006420484054279529,0.14867037597901822,0.15964061801679086,0.2635179873582676,0.25369747510830143
2010,0.05947357225766403,0.11601492915368694,0.24854194493384107,0.15056108938410606,0.1480910158370634
2011,0.03918636132522524,-0.038176318364744444,0.0064805340640010645,0.018950123249132922,0.030454474566159018
2012,0.08027720031132879,0.15957756698523373,0.07087002559895272,0.15990360838163098,0.13239980286010788
2013,0.3313131360462267,0.3162100646618262,0.3162100646618258,0.32307887137901914,0.2750370684857799
2014,0.11654810156299056,0.16668359437214764,0.16668359437214786,0.13463440545861394,0.12039450209997571
2015,0.07459422711890973,0.09711355502118102,0.08462210043143004,0.01234455324584749,-0.006866353466916997
2016,0.13175511116101246,0.13158898682885933,0.12397145979852398,0.11997913541847716,0.15136449276485853
2017,0.19103436919978556,0.20564335558684554,0.20564335558684554,0.21705416860297322,0.1661702348718983
2018,-0.041950643178864766,0.015204491944141196,-0.005666944944054175,-0.045690037456399435,-0.05975815655922778
2019,0.07751161042519805,0.09073815151394227,0.07751161042519805,0.08006562964201058,0.07509454142779393
