Date,ATVI,CBS,CHTR,CMCSA,CTL,DIS,DISCA,DISCK,DISH,EA,FB,FOX,FOXA,GOOG,GOOGL,IPG,NFLX,NWS,NWSA,OMC,T,TRIP,TTWO,TWTR,VIAB,VZ
2018-10-31,,,,,,,,,,,,,,,,,,,q10,,,q10,,q10,,
2018-11-30,,,,,,,,,,q10,q10,,,,,,q10,,,,,,,,,
2018-12-31,,,,,,,,,,q10,q10,,,,,,q10,,,,,,,,,
2019-01-31,q10,,,,,,,,q10,,q10,,,,,,,,,,,,,,,
2019-02-28,q10,q10,,,q10,,,,,,,,,,,,,,,,,,,,,
2019-03-29,q10,,,,q10,,,,,,,,,,,,,,,,,,q10,,,
2019-04-30,,,,,q10,,,,,,,,,,,,,,,,,q10,q10,,,
2019-05-31,,,,,q10,,,,,,,,,,,,,q10,,,,q10,,,,
2019-06-28,,,,,q10,,,,,,,,,,,,,,q10,,,q10,,,,
2019-07-31,,,,,,,,,,,,,,q10,q10,,,,,,,q10,,,,
