Date,AIV,AMT,ARE,AVB,BXP,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2017-03-31,,,,,,,,,,,,q10,,,,,,,q10,,,q10,,,,,,,,,
2017-04-28,,,,,,,,,,,,q10,,,,,,,q10,,,,,,,q10,,,,,
2017-05-31,,,,,,,,,,,,q10,,,,,,,q10,,,q10,,,,,,,,,
2017-06-30,,,,,,,,,,,,q10,,,,,,,q10,,,,,,,q10,,,,,
2017-07-31,,,,,,,,,,,,,,,,,q10,,q10,,,,,,,q10,,,,,
2017-08-31,,,,,,,,,,,,,,q10,,,,,q10,,,,,,,q10,,,,,
2017-09-29,,,,,,,,,,,,,,q10,,,,,q10,,,,,,,q10,,,,,
2017-10-31,,,,,,,,,,,,,q10,q10,,,,,q10,,,,,,,,,,,,
2017-11-30,,,,,,,,,,,,,q10,,,,,,q10,,,,,,,q10,,,,,
2017-12-29,,,,,,,,,,,,,q10,,,,q10,,,,,,,,,q10,,,,,
2018-01-31,,,,,,,,,,,,,,,,,q10,,,,,,,,,q10,,,,,
2018-02-28,,,,,,,,,,,,,q10,,,,q10,,,,,q10,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,q10,,,q10,,,q10,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,,,q10,,,q10,,,,,,,,,,,,q10,,
2018-05-31,,,,,,,,,,,,,,q10,,,q10,,,,,,,,,,,,q10,,
2018-06-29,,,,,,,,,,,,,,q10,,,q10,,,,,,,,,,,,q10,,
2018-07-31,,,,,,,,,,,,,,q10,,,q10,,,,,,,,,,,,q10,,
2018-08-31,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,q10,q10,
2018-09-28,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,q10,q10,
2018-10-31,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,q10,,
2018-11-30,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,q10,,
2018-12-31,,,,,,,,,,,,,,,,,q10,,,,,,q10,,,,,q10,,,
2019-01-31,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,q10,,,
2019-02-28,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,q10,,,
2019-03-29,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,q10,,,
2019-04-30,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,q10,,,
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,q10,,,q10
2019-06-28,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,q10,,,q10
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,q10,,,q10
